0.0078, 0.0042, 9.8070, 0.0001, -0.0020, 0.0008 
-0.0030, -0.0048, 9.7968, 0.0008, 0.0005, 0.0003 
-0.0060, -0.0018, 9.8088, 0.0016, -0.0008, 0.0005 
-0.0060, -0.0006, 9.8022, 0.0000, -0.0008, 0.0003 
-0.0090, -0.0024, 9.8004, -0.0005, 0.0000, 0.0008 
-0.0006, 0.0024, 9.7782, -0.0003, -0.0003, 0.0012 
-0.0036, -0.0012, 9.7956, -0.0007, 0.0015, 0.0011 
0.0018, -0.0012, 9.7728, 0.0001, -0.0025, -0.0005 
-0.0096, -0.0048, 9.8225, 0.0005, 0.0000, 0.0008 
0.0060, 0.0006, 9.7932, -0.0003, -0.0049, 0.0004 
-0.0072, -0.0114, 9.8207, -0.0013, -0.0007, 0.0015 
0.0102, -0.0030, 9.7962, 0.0011, -0.0063, 0.0001 
0.0012, -0.0060, 9.8195, -0.0011, -0.0036, 0.0004 
0.0036, -0.0060, 9.7986, -0.0019, -0.0040, 0.0009 
0.0096, -0.0072, 9.7908, -0.0007, -0.0048, 0.0003 
0.0084, 0.0078, 9.7968, -0.0011, 0.0015, 0.0013 
0.0120, 0.0066, 9.7854, -0.0033, 0.0031, 0.0013 
-0.0006, -0.0030, 9.7908, -0.0019, 0.0059, 0.0007 
0.0096, 0.0006, 9.7950, 0.0001, 0.0016, 0.0011 
0.0024, -0.0036, 9.8040, -0.0007, 0.0037, 0.0007 
0.0078, -0.0072, 9.8076, -0.0013, 0.0011, 0.0004 
0.0078, -0.0048, 9.7896, -0.0011, 0.0004, 0.0009 
0.0030, -0.0114, 9.7974, -0.0003, 0.0013, 0.0012 
0.0030, -0.0078, 9.8183, 0.0007, -0.0013, 0.0001 
-0.0048, -0.0048, 9.8237, -0.0009, -0.0013, 0.0011 
-0.0132, -0.0090, 9.8249, 0.0017, -0.0067, 0.0007 
-0.0168, -0.0108, 9.8105, 0.0024, -0.0169, 0.0001 
-0.0102, -0.0120, 9.8279, 0.0037, -0.0234, -0.0020 
0.0048, -0.0126, 9.8183, 0.0023, -0.0221, -0.0051 
0.0030, -0.0174, 9.7836, 0.0017, -0.0222, -0.0063 
-0.0365, -0.0287, 9.7932, 0.0033, -0.0230, -0.0088 
-0.3490, -0.1748, 9.8171, 0.0035, -0.0197, -0.0276 
-1.2421, -0.6028, 9.7381, -0.0027, 0.0041, -0.1410 
-1.6695, -0.7704, 9.6992, 0.0057, 0.0220, -0.4065 
-1.5306, -0.6519, 9.7351, 0.0217, 0.0107, -0.6550 
-1.0984, -0.3262, 9.7615, 0.0284, 0.0115, -0.8225 
-0.6112, -0.0162, 9.7710, 0.0325, 0.0113, -0.9249 
-0.2562, 0.1706, 9.7950, 0.0320, 0.0113, -0.9899 
-0.0641, 0.2502, 9.8369, 0.0297, 0.0059, -1.0395 
-0.0257, 0.2400, 9.7824, 0.0288, -0.0017, -1.1001 
-0.1616, 0.1305, 9.7674, 0.0309, 0.0051, -1.1843 
-0.3412, 0.0233, 9.8010, 0.0437, -0.0053, -1.3047 
-0.4412, -0.0964, 9.7872, 0.0461, -0.0214, -1.4608 
-0.4849, -0.1706, 9.7842, 0.0397, -0.0009, -1.6446 
-0.3927, -0.1987, 9.8046, 0.0385, -0.0025, -1.8210 
-0.2017, -0.1969, 9.8291, 0.0357, -0.0161, -1.9671 
0.5836, -0.1431, 9.7082, 0.0204, 0.0039, -2.0518 
2.5674, 0.2526, 9.7668, -0.0297, 0.1999, -1.8822 
2.3513, 0.1107, 9.9823, -0.0158, 0.2213, -1.2568 
1.0889, -0.4364, 9.9488, -0.0073, -0.0779, -0.4175 
-0.0180, -0.7530, 9.8099, -0.0008, -0.0610, -0.3484 
